X_Value,Voltage_0,Voltage_1,Voltage_2,Voltage_3
0,0.043992,0.005986,1.286094,-0.000897
0.005,0.031242,0.005986,1.260597,-0.008543
0.01,0.038892,0.003437,1.268246,-0.000897
0.015,0.028692,0.005986,1.263146,-0.000897
0.02,0.041442,0.013633,1.278445,0.001652
0.025,0.033792,0.003437,1.280995,0.001652
0.03,0.031242,0.011084,1.263146,-0.000897
0.035,0.031242,0.000888,1.273345,-0.000897
0.04,0.031242,0.013633,1.291194,-0.000897
0.045,0.033792,0.005986,1.268246,-0.000897
0.05,0.033792,0.005986,1.250398,0.004201
0.055,0.031242,0.005986,1.270796,-0.005994
0.06,0.033792,0.005986,1.270796,0.004201
0.065,0.026142,0.005986,1.275895,0.001652
0.07,0.041442,0.005986,1.283544,0.004201
0.075,0.026142,0.013633,1.278445,-0.008543
0.08,0.033792,0.005986,1.268246,0.004201
0.085,0.033792,0.008535,1.265696,-0.000897
0.09,0.033792,0.000888,1.280995,0.004201
0.095,0.028692,0.005986,1.278445,-0.005994
0.1,0.041442,0.005986,1.268246,0.004201
0.105,0.028692,0.003437,1.270796,-0.005994
0.11,0.041442,0.005986,1.270796,0.004201
0.115,0.033792,0.005986,1.273345,-0.005994
0.12,0.033792,0.003437,1.273345,-0.003445
0.125,0.038892,0.000888,1.273345,-0.000897
0.13,0.031242,0.011084,1.278445,0.001652
0.135,0.038892,0.003437,1.265696,0.004201
0.14,0.033792,0.005986,1.278445,-0.005994
0.145,0.033792,0.005986,1.268246,0.004201
0.15,0.033792,0.005986,1.268246,-0.005994
0.155,0.033792,0.011084,1.265696,-0.000897
0.16,0.038892,0.000888,1.258047,-0.000897
0.165,0.028692,0.003437,1.268246,-0.005994
0.17,0.033792,0.005986,1.258047,0.004201
0.175,0.031242,0.005986,1.268246,-0.000897
0.18,0.028692,0.011084,1.263146,-0.000897
0.185,0.036342,0.000888,1.255497,-0.000897
0.19,0.031242,0.011084,1.260597,0.001652
0.195,0.038892,0.000888,1.263146,-0.000897
0.2,0.028692,0.011084,1.250398,-0.000897
0.205,0.038892,0.000888,1.255497,0.004201
0.21,0.031242,0.011084,1.263146,-0.005994
0.215,0.038892,0.003437,1.258047,0.004201
0.22,0.028692,0.003437,1.275895,-0.005994
0.225,0.038892,0.003437,1.275895,0.004201
0.23,0.031242,0.005986,1.273345,-0.008543
0.235,0.033792,0.003437,1.263146,0.00675
0.24,0.033792,0.000888,1.275895,-0.000897
0.245,0.031242,0.011084,1.265696,-0.000897
0.25,0.033792,0.003437,1.280995,-0.000897
0.255,0.031242,0.011084,1.270796,-0.000897
0.26,0.038892,0.000888,1.270796,-0.000897
0.265,0.026142,0.003437,1.275895,-0.005994
0.27,0.041442,0.003437,1.275895,0.004201
0.275,0.028692,0.005986,1.286094,-0.000897
0.28,0.041442,0.008535,1.283544,-0.000897
0.285,0.028692,0.003437,1.280995,-0.000897
0.29,0.033792,0.003437,1.283544,0.00675
0.295,0.033792,0.005986,1.283544,-0.000897
0.3,0.033792,0.008535,1.265696,-0.000897
0.305,0.038892,0.000888,1.275895,-0.000897
0.31,0.026142,0.013633,1.268246,-0.003445
0.315,0.038892,0.003437,1.265696,0.004201
0.32,0.033792,0.003437,1.270796,-0.005994
0.325,0.033792,0.005986,1.258047,0.004201
0.33,0.033792,0.003437,1.265696,-0.000897
0.335,0.026142,0.013633,1.268246,-0.000897
0.34,0.038892,0.003437,1.255497,-0.000897
0.345,0.033792,0.005986,1.270796,-0.005994
0.35,0.041442,0.003437,1.268246,0.004201
0.355,0.028692,0.005986,1.275895,-0.005994
0.36,0.033792,0.011084,1.260597,-0.000897
0.365,0.031242,0.003437,1.260597,-0.000897
0.37,0.031242,0.011084,1.258047,-0.005994
0.375,0.038892,0.003437,1.252948,0.004201
0.38,0.031242,0.013633,1.270796,-0.005994
0.385,0.033792,0.005986,1.247848,0.004201
0.39,0.031242,0.003437,1.265696,-0.005994
0.395,0.033792,0.005986,1.252948,0.004201
0.4,0.033792,0.000888,1.258047,-0.000897
0.405,0.028692,0.013633,1.247848,0.001652
0.41,0.038892,0.000888,1.268246,0.004201
0.415,0.028692,0.005986,1.265696,-0.005994
0.42,0.038892,0.003437,1.278445,0.004201
0.425,0.028692,0.005986,1.275895,-0.005994
0.43,0.041442,0.005986,1.270796,0.004201
0.435,0.028692,0.005986,1.273345,-0.005994
0.44,0.038892,0.003437,1.270796,0.004201
0.445,0.028692,0.005986,1.258047,-0.005994
0.45,0.038892,0.005986,1.258047,0.004201
0.455,0.033792,0.005986,1.270796,-0.005994
0.46,0.033792,0.003437,1.263146,0.004201
0.465,0.033792,0.005986,1.265696,-0.005994
0.47,0.041442,0.000888,1.286094,0.004201
0.475,0.028692,0.013633,1.270796,-0.008543
0.48,0.031242,0.008535,1.265696,0.004201
0.485,0.031242,0.005986,1.283544,-0.005994
0.49,0.041442,0.005986,1.278445,0.004201
0.495,0.026142,0.008535,1.268246,-0.005994
0.5,0.041442,0.003437,1.268246,-0.000897
0.505,0.033792,0.000888,1.278445,0.001652
0.51,0.041442,0.005986,1.260597,-0.000897
0.515,0.031242,0.005986,1.255497,-0.008543
0.52,0.038892,0.003437,1.245298,-0.000897
0.525,0.031242,0.000888,1.252948,-0.000897
0.53,0.033792,0.013633,1.245298,-0.000897
0.535,0.031242,0.000888,1.273345,0.001652
0.54,0.028692,0.011084,1.268246,-0.005994
